name,pop_est
Afghanistan,28400000
Angola,12799293
Albania,3639453
United Arab Emirates,4798491
Argentina,40913584
Armenia,2967004
Antarctica,3802
Fr. S. Antarctic Lands,140
Australia,21262641
Austria,8210281
Azerbaijan,8238672
Burundi,8988091
Belgium,10414336
Benin,8791832
Burkina Faso,15746232
Bangladesh,156050883
Bulgaria,7204687
Bahamas,309156
Bosnia and Herz.,4613414
Belarus,9648533
Belize,307899
Bolivia,9775246
Brazil,198739269
Brunei,388190
Bhutan,691141
Botswana,1990876
Central African Rep.,4511488
Canada,33487208
Switzerland,7604467
Chile,16601707
China,1338612970
C̫te d'Ivoire,20617068
Cameroon,18879301
Dem. Rep. Congo,68692542
Congo,4012809
Colombia,45644023
Costa Rica,4253877
Cuba,11451652
N. Cyprus,265100
Cyprus,531640
Czech Rep.,10211904
Germany,82329758
Djibouti,516055
Denmark,5500510
Dominican Rep.,9650054
Algeria,34178188
Ecuador,14573101
Egypt,83082869
Eritrea,5647168
Spain,40525002
Estonia,1299371
Ethiopia,85237338
Finland,5250275
Fiji,944720
Falkland Is.,3140
France,64057792
Gabon,1514993
United Kingdom,62262000
Georgia,4615807
Ghana,23832495
Guinea,10057975
Gambia,1782893
Guinea-Bissau,1533964
Eq. Guinea,650702
Greece,10737428
Greenland,57600
Guatemala,13276517
Guyana,772298
Honduras,7792854
Croatia,4489409
Haiti,9035536
Hungary,9905596
Indonesia,240271522
India,1166079220
Ireland,4203200
Iran,66429284
Iraq,31129225
Iceland,306694
Israel,7233701
Italy,58126212
Jamaica,2825928
Jordan,6342948
Japan,127078679
Kazakhstan,15399437
Kenya,39002772
Kyrgyzstan,5431747
Cambodia,14494293
Korea,48508972
Kosovo,1804838
Kuwait,2691158
Lao PDR,6834942
Lebanon,4017095
Liberia,3441790
Libya,6310434
Sri Lanka,21324791
Lesotho,2130819
Lithuania,3555179
Luxembourg,491775
Latvia,2231503
Morocco,34859364
Moldova,4320748
Madagascar,20653556
Mexico,111211789
Macedonia,2066718
Mali,12666987
Myanmar,48137741
Montenegro,672180
Mongolia,3041142
Mozambique,21669278
Mauritania,3129486
Malawi,14268711
Malaysia,25715819
Namibia,2108665
New Caledonia,227436
Niger,15306252
Nigeria,149229090
Nicaragua,5891199
Netherlands,16715999
Norway,4676305
Nepal,28563377
New Zealand,4213418
Oman,3418085
Pakistan,176242949
Panama,3360474
Peru,29546963
Philippines,97976603
Papua New Guinea,6057263
Poland,38482919
Puerto Rico,3971020
Dem. Rep. Korea,22665345
Portugal,10707924
Paraguay,6995655
Palestine,4119083
Qatar,833285
Romania,22215421
Russia,140041247
Rwanda,10473282
Saudi Arabia,28686633
Sudan,25946220
S. Sudan,10625176
Senegal,13711597
Solomon Is.,595613
Sierra Leone,6440053
El Salvador,7185218
Somaliland,3500000
Somalia,9832017
Serbia,7379339
Suriname,481267
Slovakia,5463046
Slovenia,2005692
Sweden,9059651
Swaziland,1123913
Syria,20178485
Chad,10329208
Togo,6019877
Thailand,65905410
Tajikistan,7349145
Turkmenistan,4884887
Timor-Leste,1131612
Trinidad and Tobago,1310000
Tunisia,10486339
Turkey,76805524
Taiwan,22974347
Tanzania,41048532
Uganda,32369558
Ukraine,45700395
Uruguay,3494382
United States,313973000
Uzbekistan,27606007
Venezuela,26814843
Vietnam,86967524
Vanuatu,218519
Yemen,23822783
South Africa,49052489
Zambia,11862740
Zimbabwe,12619600
